CountyName	RaceID	RaceName	BallotID	BallotName	Votes	TotalBallotsCastByRace	PartyName
Kittitas	2	United States U.S. Senator	23001	Chuck Jackson	189	8562	(Prefers Republican Party)
Kittitas	2	United States U.S. Senator	27816	Timmy (Doc) Wilson	206	8562	(Prefers Democratic Party)
Kittitas	2	United States U.S. Senator	23970	Art Coday	490	8562	(Prefers Republican Party)
Kittitas	2	United States U.S. Senator	23100	Maria Cantwell	3889	8562	(Prefers Democratic Party)
Kittitas	2	United States U.S. Senator	27073	Glen (Stocky) R. Stockwell	257	8562	(Prefers Republican Party)
Kittitas	2	United States U.S. Senator	24705	Mike the Mover	167	8562	(Prefers Republican Party)
Kittitas	12	Congressional District 8 U.S. Representative	22838	Dave Reichert	4214	8316	(Prefers Republican Party)
Kittitas	12	Congressional District 8 U.S. Representative	22480	Keith Swank	727	8316	(Prefers Republican Party)
Kittitas	12	Congressional District 8 U.S. Representative	24089	James Windle	333	8316	(States No Party Preference)
Kittitas	12	Congressional District 8 U.S. Representative	22964	Karen Porterfield	2172	8316	(Prefers Democratic Party)
Kittitas	12	Congressional District 8 U.S. Representative	25490	Keith Arnold	492	8316	(Prefers Democratic Party)
Kittitas	12	Congressional District 8 U.S. Representative	25127	Ernest Huber	378	8316	(Prefers Republican Party)
Kittitas	13	Washington State Governor	24769	Rob Hill	211	8981	(Prefers Democratic Party)
Kittitas	13	Washington State Governor	26224	Rob McKenna	5044	8981	(Prefers Republican Party)
Kittitas	13	Washington State Governor	24230	Jay Inslee	3276	8981	(Prefers Democratic Party)
Kittitas	13	Washington State Governor	27356	James White	84	8981	(Prefers Independent Party)
Kittitas	13	Washington State Governor	27494	Christian Joubert	57	8981	(States No Party Preference)
Kittitas	13	Washington State Governor	25182	Shahram Hadian	158	8981	(Prefers Republican Party)
Kittitas	13	Washington State Governor	25059	L. Dale Sorgen	39	8981	(Prefers Independent Party)
Kittitas	13	Washington State Governor	25871	Max Sampson	70	8981	(Prefers Republican Party)
Kittitas	13	Washington State Governor	25246	Javier O. Lopez	42	8981	(Prefers Republican Party)
Kittitas	14	Washington State Lt. Governor	23000	Glenn Anderson	1752	8105	(Prefers Indep Republican Party)
Kittitas	14	Washington State Lt. Governor	22477	Brad Owen	3389	8105	(Prefers Democrat Party)
Kittitas	14	Washington State Lt. Governor	26503	James Robert Deal	238	8105	(States No Party Preference)
Kittitas	14	Washington State Lt. Governor	24457	Bill Finkbeiner	2489	8105	(Prefers Republican Party)
Kittitas	14	Washington State Lt. Governor	27838	Dave T. Sumner IV	26	8105	(Prefers Neopopulist Party)
Kittitas	14	Washington State Lt. Governor	27436	Mark Greene	211	8105	(Prefers Democracy Indep. Party)
Kittitas	15	Washington State Secretary of State	22637	Jim Kastama	816	7963	(Prefers Democratic Party)
Kittitas	15	Washington State Secretary of State	27396	David J. Anderson	420	7963	(States No Party Preference)
Kittitas	15	Washington State Secretary of State	22512	Sam Wright	181	7963	(Prefers The Human Rights Party)
Kittitas	15	Washington State Secretary of State	22883	Karen Murray	375	7963	(Prefers Constitution Party)
Kittitas	15	Washington State Secretary of State	22633	Kathleen Drew	1171	7963	(Prefers Democratic Party)
Kittitas	15	Washington State Secretary of State	23674	Kim Wyman	3908	7963	(Prefers Republican Party)
Kittitas	15	Washington State Secretary of State	23136	Greg Nickels	1092	7963	(Prefers Democratic Party)
Kittitas	16	Washington State State Treasurer	24576	Jim McIntire	5271	5271	(Prefers Democratic Party)
Kittitas	17	Washington State State Auditor	23764	Troy Kelley	1389	7440	(Prefers Democratic Party)
Kittitas	17	Washington State State Auditor	22785	James Watkins	4490	7440	(Prefers Republican Party)
Kittitas	17	Washington State State Auditor	25686	Mark Miloscia	448	7440	(Prefers Democratic Party)
Kittitas	17	Washington State State Auditor	25425	Craig Pridemore	1113	7440	(Prefers Democratic Party)
Kittitas	18	Washington State Attorney General	24100	Bob Ferguson	3205	7833	(Prefers Democratic Party)
Kittitas	18	Washington State Attorney General	22967	Reagan Dunn	3714	7833	(Prefers Republican Party)
Kittitas	18	Washington State Attorney General	25162	Stephen Pidgeon	914	7833	(Prefers Republican Party)
Kittitas	19	Washington State Commissioner of Public Lands	27181	Stephen A. Sharon	669	7990	(States No Party Preference)
Kittitas	19	Washington State Commissioner of Public Lands	22479	Peter J. Goldmark	2820	7990	(Prefers Democratic Party)
Kittitas	19	Washington State Commissioner of Public Lands	27283	Clint Didier	4501	7990	(Prefers Republican Party)
Kittitas	20	Washington State Superintendent of Public Instruction	24486	James Bauckman	1079	6254	
Kittitas	20	Washington State Superintendent of Public Instruction	22926	Randy I. Dorn	3392	6254	
Kittitas	20	Washington State Superintendent of Public Instruction	25932	Don Hansler	567	6254	
Kittitas	20	Washington State Superintendent of Public Instruction	25087	John Patterson Blair	351	6254	
Kittitas	20	Washington State Superintendent of Public Instruction	27177	Ronald L. (Ron) Higgins	865	6254	
Kittitas	21	Washington State Insurance Commissioner	24724	John R. Adams	2009	7469	(Prefers Republican Party)
Kittitas	21	Washington State Insurance Commissioner	23279	Mike Kreidler	3180	7469	(Prefers Democratic Party)
Kittitas	21	Washington State Insurance Commissioner	25866	Scott Reilly	1775	7469	(Prefers Republican Party)
